Molecule ChEMBL ID,Smiles
CHEMBL2282523,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@](O)(C(=O)O)c2ccccc2C(=O)c2ccccc2)cc1
CHEMBL398804,CCO[C@@H](Cc1ccc(CCC(OC(=S)NCc2ccc(C(C)(C)C)cc2)c2ccccc2)cc1)C(=O)O
CHEMBL231690,Cc1nc(C(F)(F)F)sc1CSc1ccc2c(ccn2CC(=O)O)c1
CHEMBL1079505,Cc1cc(OCc2nc(-c3ccc(OC(C)C)nc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O
CHEMBL1086516,CCCCN(CC(=O)Nc1ccc(C)cc1C)Cc1ccc(OC(C)(C)C(=O)O)cc1
CHEMBL1082475,CCCCCCCN(CC(=O)Nc1ccc(C)cc1C)Cc1ccc(OC(C)(C)C(=O)O)cc1
CHEMBL1081004,COc1cccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2-c2ccc(OC(F)(F)F)cc2)c1
CHEMBL1075723,Cc1cc(OCc2nc(-c3ccc(C(=O)N(C)C(C)C)cc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O
CHEMBL1075705,Cc1cc(OCc2nc(-c3ccc(N4CCCCC4)cc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O
CHEMBL1081730,Cc1cc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O
CHEMBL1644299,C/C(=N\OCc1sc(-c2ccc(C(F)(F)F)cc2)nc1C)c1ccc(OCC(=O)O)c(C)c1
CHEMBL1082114,COc1ccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)oc2-c2ccc(OC(F)(F)F)cc2)cc1
CHEMBL1079449,COc1ccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2-c2ccc3ccccc3c2)cc1
CHEMBL1080184,COc1ncc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)oc2-c2ccc(OC(F)(F)F)cc2)cn1
CHEMBL1080013,COc1ccc(-c2nc(COc3ccc(CCC(=O)O)c(C(F)(F)F)c3)sc2-c2ccc(C(F)(F)F)cc2)cc1
CHEMBL1081387,COc1ccc(-c2nc(COc3ccc(CC(=O)O)c(C)c3)sc2-c2ccc(C(F)(F)F)cc2)cc1
CHEMBL331557,COc1ccc(CC(C)(C)C(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1
CHEMBL21241,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O
CHEMBL1088246,Cc1ccc(F)c(OC(=O)N(CC(=O)O)[C@@H](C)c2cccc(OCc3coc(-c4ccc(Cl)cc4)n3)c2)c1
CHEMBL1087582,COC(=O)N(CC(=O)O)Cc1cccc(OCc2coc(-c3cccc(C)c3)n2)c1
CHEMBL1089176,Cc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccc(Cl)cc4)oc3C)cc2)cc1
CHEMBL1091980,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccccc4Cl)oc3C)c2)cc1
CHEMBL1089164,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(F)cc4)oc3C)c2)cc1
CHEMBL1089970,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(N5CCOCC5)cc4)oc3C)c2)cc1
CHEMBL1092237,Cc1oc(-c2ccc(Cl)cc2)nc1COc1cccc(CN(CC(=O)O)C(=O)OC2CCC2)c1
CHEMBL453509,CCCCCC/C=C\CCCCCCCC(=O)O
CHEMBL466952,Cc1oc(C(C)(C)C)nc1COc1ccc(C[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1
CHEMBL467349,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1
CHEMBL482740,CCCCCCOC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O
CHEMBL3264919,CCn1c(CCCc2ccc(OC(C)(C)C(=O)NS(=O)(=O)c3ccccc3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O
CHEMBL3264927,CCn1c(CCCc2ccc(OC(C)(C)C(=O)NS(=O)(=O)c3ccoc3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O
CHEMBL317424,CC(C)(Oc1cccc(CCCN(Cc2ccc(C(F)(F)F)cc2C(F)(F)F)C(=O)COc2ccc(Cl)c(Cl)c2)c1)C(=O)O
CHEMBL435704,CCCc1c(OCCCOc2ccc(CCC(=O)O)cc2)ccc2c(-c3ccccc3)noc12
CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CHEMBL191556,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1
CHEMBL208202,Cc1cc(OCc2cc(-c3ccc(-c4ccccc4)cc3)cc(-c3ccc(C(F)(F)F)cc3)c2)ccc1OCC(=O)O
CHEMBL210873,Cc1cc(OCc2cc(-c3ccc(N(C)C)cc3)cc(-c3ccc(N(C)C)cc3)c2)ccc1OCC(=O)O
CHEMBL323773,CCCc1cc2c(C(F)(F)F)noc2c(CCC)c1OC(C(=O)O)c1ccccc1
CHEMBL293526,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1
CHEMBL104494,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ncccn2)C(=O)O)cc1
CHEMBL358325,Cc1sc(N2CCN(C)CC2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
CHEMBL490401,CCOC(Cc1ccc(OCCN2CC=C(c3cc(Cl)ccc3Cl)CC2)cc1)C(=O)O
CHEMBL491423,CCOC(Cc1ccc(OCCN2CC=C(c3cccs3)CC2)cc1)C(=O)O
CHEMBL477801,CCOC(Cc1ccc(OCCN2CC=C(c3cccc(C(F)(F)F)c3)CC2)cc1)C(=O)O
CHEMBL358379,Cc1sc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
CHEMBL359285,COCCNc1nc(CCOc2ccc(C[C@H](Nc3ccccc3C(=O)c3ccccc3)C(=O)O)cc2)c(C)s1
CHEMBL359285,COCCNc1nc(CCOc2ccc(C[C@H](Nc3ccccc3C(=O)c3ccccc3)C(=O)O)cc2)c(C)s1
CHEMBL319637,CCCc1c(OC(C(=O)O)c2ccccc2)c(Cl)cc2c(CC)noc12
CHEMBL104850,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H](C(=O)O)n2cccc2)cc1
CHEMBL562864,Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(O[C@@H](C(=O)O)C(C)C)c1
CHEMBL549746,CC[C@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O
CHEMBL295416,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C
CHEMBL1778830,CCCc1oc(-c2ccccc2Cl)nc1CCc1noc2cc(OC(C)(C)C(=O)O)ccc12
CHEMBL1778831,CC(C)c1oc(-c2ccccc2Cl)nc1CCc1noc2cc(OC(C)(C)C(=O)O)ccc12
CHEMBL104850,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H](C(=O)O)n2cccc2)cc1
CHEMBL104850,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H](C(=O)O)n2cccc2)cc1
CHEMBL178513,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC4CC4)cc3Cl)cc2O1
CHEMBL218117,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)C(=O)O)cn1
CHEMBL217907,Cc1oc(-c2ccc(C#N)cc2)nc1CCOc1ccc(CC2(C(=O)O)CCCO2)cn1
CHEMBL221641,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1CCOc1ccc(CC2(C(=O)O)CCCO2)cn1
CHEMBL222107,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(CC(C)C)C(=O)O)cn1
CHEMBL2203301,CC(C)(Oc1ccc(CO)cc1)C(=O)O
CHEMBL3981588,CC(=O)NC(C)c1nc(-c2ccc(Oc3ccccc3)cc2)no1
CHEMBL1808554,CCCCC(Sc1nc2cc(Cl)ccc2s1)C(=O)NS(=O)(=O)c1ccccc1
CHEMBL1808552,CCCC(Sc1nc2cc(Cl)ccc2s1)C(=O)NS(=O)(=O)c1ccccc1
CHEMBL1808556,O=C(NS(=O)(=O)c1ccccc1)C(Sc1nc2cc(Cl)ccc2s1)c1ccccc1
CHEMBL1808556,O=C(NS(=O)(=O)c1ccccc1)C(Sc1nc2cc(Cl)ccc2s1)c1ccccc1
CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
CHEMBL1813005,CCO[C@@H](Cc1ccc(OCc2nc(-c3sccc3C)oc2C)cc1)C(=O)O
CHEMBL340011,CCCCCCCN(CCc1ccc(OC(C)(C)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1
CHEMBL360919,COc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1
CHEMBL369289,CCOc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1
CHEMBL361424,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)cc2O1
CHEMBL1081354,CCCCOc1ccc(-c2cccc(C(=O)O)c2C)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F
CHEMBL220507,CCOc1ccc(OCCCOc2ccc3c(c2)CC[C@H]3CC(=O)O)cc1
CHEMBL218442,Cc1nc(C(=O)NCc2ccc(OC(C)(C)C(=O)O)cc2)c(C)s1
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL330938,O=C(Nc1ccc(Oc2ncccc2[N+](=O)[O-])cc1C(=O)[O-])c1ccc(Cl)cc1Cl.[Li+]
CHEMBL341227,O=C(O)Cc1ccc(OCCN2C(=O)COc3ccsc32)cc1
CHEMBL487561,CS(=O)(=O)Oc1ccc(CCCC[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1
CHEMBL520856,CS(=O)(=O)Oc1ccc(CCCCCC[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1
CHEMBL519854,CCCCCCC[C@H]1C(=O)C=C(I)[C@H]1OCCCCCC(=O)O
